T0055G0002S0383 给我买张飞机票吧
T0055G0002S0489 宝鸡到淄博列车时刻
T0055G0002S0004 看看我的日程表
T0055G0002S0455 打电话给李乐轩
T0055G0002S0169 发短信给胡雪婷
T0055G0002S0224 你自己看言情小说吧
T0055G0002S0096 附近都有什么娱乐场所
T0055G0002S0427 查找附近的厕所
T0055G0002S0172 我想看乡村爱情变奏曲视频
T0055G0002S0413 知道了晚上会做饭的
T0055G0002S0226 打开UC 浏览器手机新浪网
T0055G0002S0147 给我唱一首祈祷
T0055G0002S0407 你可以更聪明一点吗
T0055G0002S0399 舒淇写真集的电影有吗
T0055G0002S0324 用UC 浏览器搜索I believe I can fly
T0055G0002S0332 四川卫视待会有什么节目
T0055G0002S0359 你准备怎么补偿我
T0055G0002S0329 打电话给老婆电信号码
T0055G0002S0205 啊马上我错了页面不小心分成N 份了我马上
T0055G0002S0262 提前十五分钟告诉我
T0055G0002S0266 数码宝贝变色龙
T0055G0002S0458 没有网络是否可以用
T0055G0002S0326 帮我打电话给妈咪
T0055G0002S0360 我是谁你知道不
T0055G0002S0341 打电话给张兴元儿
T0055G0002S0278 我的QQ 在别处登录通知我
T0055G0002S0307 对不起  你不至于被我气的辞职吧
T0055G0002S0267 穿什么颜色的内衣
T0055G0002S0379 周一可盈利的个股
T0055G0002S0040 我不想让你跟我在一起
T0055G0002S0201 谢谢大姐好多了我没有听见对不起
T0055G0002S0061 堵车了饿饿的还瞌睡瞌睡的
T0055G0002S0094 嘿嘿我郁闷我把男号退了进别的团阿姨生气了
T0055G0002S0331 我真的是机器人
T0055G0002S0357 我们三个人在一个开发机房还另有办公室
T0055G0002S0281 今天帮我洗衣服
T0055G0002S0217 能不能别逗我了
T0055G0002S0044 天气太冷了不好玩儿
T0055G0002S0157 再过一分钟叫我
T0055G0002S0012 唱一首老人与海
T0055G0002S0310 给我找个毛片看
T0055G0002S0133 成龙的电影十二生肖
T0055G0002S0207 我要你讲个故事
T0055G0002S0390 你过来给我做饭
T0055G0002S0136 明星用的脱毛膏哪一种好毛永远不会长
T0055G0002S0208 给我唱首歌吧 随便唱
T0055G0002S0254 下载赛车小游戏
T0055G0002S0433 当然要吃饱
T0055G0002S0117 你给我唱一首歌吧
T0055G0002S0194 没关系照实写
T0055G0002S0118 我要杀死安倍晋三
T0055G0002S0120 多方通话功能使用对象
T0055G0002S0303 你知道自己错在哪里吗
T0055G0002S0152 睡吧good night
T0055G0002S0333 帮我看看明天天气
T0055G0002S0084 好想你 真的好想你
T0055G0002S0034 我们不是只有现在吗
T0055G0002S0028 有什么搞笑的电影
T0055G0002S0109 吃饭了待会赶集
T0055G0002S0166 今天羊肉多少钱一斤
T0055G0002S0268 宝贝宝贝我爱你
T0055G0002S0336 东莞的天气怎么样啊
T0055G0002S0156 推荐一个黑客方面的电影
T0055G0002S0441 你知道我有几个小孩呀
T0055G0002S0237 给毛泽东打电话
T0055G0002S0100 查看本地的天气
T0055G0002S0293 上虞北站开通时间
T0055G0002S0251 你已经睡觉了吗
T0055G0002S0412 中午在哪儿吃饭呢我在仓库附近的小陈餐馆比较便宜四块
T0055G0002S0128 搜索一下黄日华的照片
T0055G0002S0077 都没有立足之地了
T0055G0002S0091 一小时十分钟后叫我
T0055G0002S0227 爸爸一米七妈妈一米六小孩儿能长多高
T0055G0002S0159 明天早上八点十五分我要起床
T0055G0002S0177 一起上班我们一起上班
T0055G0002S0005 我老婆是大笨蛋
T0055G0002S0415 经典仙侠修真小说名称
T0055G0002S0464 发短信给黄艳芳
T0055G0002S0285 找个黄色电影看看
T0055G0002S0468 明天劲爆体育有没有NBA 直播
T0055G0002S0115 天使团狩猎美男
T0055G0002S0290 你快点给我跪下
T0055G0002S0049 我妈说明天带我们去玩儿
T0055G0002S0272 来一首歌曲 太阳出来喜洋洋
T0055G0002S0261 物流专业刚毕业的学生年薪是多少
T0055G0002S0155 不听了听你讲笑话
T0055G0002S0063 你到底要吃什么
T0055G0002S0019 我也在想你呀 你能帮我做些什么
T0055G0002S0453 我今天晚上和谁一起睡
T0055G0002S0301 今天早上十点半起床
T0055G0002S0223 播放毛阿敏的成名歌曲
T0055G0002S0011 英文给你一个惊喜
T0055G0002S0454 明天义乌到安康的火车票
T0055G0002S0151 关中天水经济区的新闻
T0055G0002S0265 播放歌曲坐着火车去拉萨
T0055G0002S0352 可不是嘛嗨林子大了什么鸟都有
T0055G0002S0409 发短信给王喜田
T0055G0002S0354 你可以亲亲我吗
T0055G0002S0083 辽阳刚才地震了吗
T0055G0002S0068 我喜欢看爱情片
T0055G0002S0322 请问hello 是什么意思啊
T0055G0002S0016 明天上午六点三十分叫我
T0055G0002S0487 我是跟你说话 不就浪费电吗
T0055G0002S0203 我要订从高碑店东站到北京西的火车票
T0055G0002S0316 创世三国是什么游戏
T0055G0002S0429 小崔说他睡前就得交过去你打字过来吧
T0055G0002S0253 武警不让放犯人收工
T0055G0002S0363 唱一首 北国之春
T0055G0002S0141 回家的时候你记得给我发信息
T0055G0002S0280 我说你会发微信吗
T0055G0002S0105 手机锂电池初次充电怎么充
T0055G0002S0196 我的手机有问题别人一关机就发不出去
T0055G0002S0123 广西首府在哪里
T0055G0002S0319 自己把声音打开
T0055G0002S0065 我要听乱舞春秋
T0055G0002S0493 一年以后提醒我上过一百块钱
T0055G0002S0300 了不起的盖茨比
T0055G0002S0422 十九世纪末二十世纪初的土耳齐资产阶级革命
T0055G0002S0101 你好 你要做什么
T0055G0002S0146 以后叫我陈老板
T0055G0002S0294 玉屏风散有效果吗
T0055G0002S0225 附近都有什么旅馆和宾馆
T0055G0002S0073 你认识我吗用英语怎么说
T0055G0002S0162 月有阴晴圆缺下一句
T0055G0002S0032 你本来就是个猪
T0055G0002S0235 我说你不用睡觉吗
T0055G0002S0377 一夫当关万夫莫开
T0055G0002S0404 没事我就想听个鬼故事
T0055G0002S0160 华东汽车修理厂
T0055G0002S0212 tank 吕建忠什么时候有新歌演唱会
T0055G0002S0210 什么药物中毒后产生头重脚轻感觉地下是空的
T0055G0002S0297 我想给老婆打电话
T0055G0002S0079 偶像剧命中注定我爱你主演陈乔恩
T0055G0002S0082 人生都没有意义了
T0055G0002S0378 林心如的歌曲李冰冰的歌曲
T0055G0002S0345 你要不要吃早餐啊
T0055G0002S0434 湖南新宁今天有没有下雪
T0055G0002S0465 那关于电话和价格呢
T0055G0002S0408 哦你不是不代表他不是或许他只是想跟你做朋友吧好好看书吧
T0055G0002S0119 我想给你改个名字
T0055G0002S0184 这个月有三十号吗
T0055G0002S0218 你是乱找的根本就不是
T0055G0002S0183 你能识别多音字吗
T0055G0002S0374 你说聊点什么好呢
T0055G0002S0449 今天十九点十七分
T0055G0002S0384 白日依山尽 黄河入海流
T0055G0002S0406 没有网络连接可以对话吗
T0055G0002S0042 脑子里总想着一个人这是不是说明爱上她了
T0055G0002S0161 请问朱沱至合江何时有车
T0055G0002S0107 对你的爱不会动摇痴情此刻为你呈报
T0055G0002S0241 我说你真是人才
T0055G0002S0369 附近的旅店最近的
T0055G0002S0500 翻译我要去上海
T0055G0002S0418 我觉得不怎么样
T0055G0002S0071 音乐播放 新贵妃醉酒
T0055G0002S0148 微博是干什么的
T0055G0002S0411 听着情歌流眼泪
T0055G0002S0372 哎呀别这样啊生气对身体不好哟
T0055G0002S0423 我要睡觉了发送
T0055G0002S0462 上月话费有十元信息费是否扣腾信网钻石版的怎样删除
T0055G0002S0021 老公你快到了吧路上注意安全上网不要错过车
T0055G0002S0053 那你自己右键点 编辑 看看有什么
T0055G0002S0247 你应该叫我老板
T0055G0002S0395 网络速度有什么有关
T0055G0002S0480 你那儿有电视吗我想明天先来你这儿顺便看下阅兵
T0055G0002S0495 现在买什么品牌的手机
T0055G0002S0250 打开懒人听书网
T0055G0002S0463 还是你和黄姐到我这来吧
T0055G0002S0190 以后请叫我爹好吗
T0055G0002S0366 天气是什么情况
T0055G0002S0131 蓝马鸡和白马鸡的生态位有啥区别
T0055G0002S0134 六号是不是还属于假期
T0055G0002S0176 打电话给向青春
T0055G0002S0288 我说怎么不够啦本来我说刚好的
T0055G0002S0396 这是语音发送短信的测试
T0055G0002S0485 在开会等下呼我
T0055G0002S0099 该起床了昨晚我看到时很晚了没有回复你的信息
T0055G0002S0416 打包中午出来买菜
T0055G0002S0165 再给我讲个好笑的笑话
T0055G0002S0236 帮我搜一首歌曲
T0055G0002S0365 你认识习近平吗
T0055G0002S0342 但使龙城飞将在
T0055G0002S0486 没钱了 你帮我充一下 二十块钱嘛
T0055G0002S0432 要去买东西吧顺便和我说说话吧
T0055G0002S0025 给张波峰打电话
T0055G0002S0007 再给我讲个笑话好吗
T0055G0002S0376 体育明星的名字、出生地所属体育项目
T0055G0002S0496 附近有好吃的餐厅吗
T0055G0002S0447 打电话给你你也不接
T0055G0002S0478 一分钟后叫我起床好吗
T0055G0002S0451 你起床多久
T0055G0002S0055 把我的QQ 关了
T0055G0002S0132 尿道炎怎么预防
T0055G0002S0145 十五分钟后闹钟
T0055G0002S0397 腾讯什么时候倒闭
T0055G0002S0440 我想了解关于治青春痘遗留下来的疤痕的药物
T0055G0002S0126 明天早上五点半喊醒我
T0055G0002S0047 马戏团在哪在兴化吗在兴化的哪个地方
T0055G0002S0013 对练英语听力有帮助的歌 请推荐几首谢谢
T0055G0002S0370 这是什么图片了
T0055G0002S0086 七七年农历九月二十四日是什么星座
T0055G0002S0143 导航到东方大学
T0055G0002S0112 十五分钟后开启蓝牙
T0055G0002S0401 我想和我老婆离婚
T0055G0002S0270 女生喜欢男生怎么样才爱他现实点
T0055G0002S0470 这里是什么地方
T0055G0002S0234 贵财经的宿舍里有没有卫生间
T0055G0002S0089 阳历是什么时候
T0055G0002S0421 土豆多少钱一斤
T0055G0002S0187 网络电话怎么打
T0055G0002S0284 百色简称及特色旅游
T0055G0002S0039 瑞士浪琴手表简介
T0055G0002S0343 我要看吸血鬼日记
T0055G0002S0305 我要去打麻将老婆不给
T0055G0002S0027 有什么好玩的没有
T0055G0002S0088 我不知道吃什么好
T0055G0002S0211 油价现在有多高
T0055G0002S0381 我说人话你听不懂吗
T0055G0002S0325 今天六合彩开什么号码
T0055G0002S0373 问问你吃饭没有啊
T0055G0002S0323 播放 我想更懂你
T0055G0002S0069 老婆你是不是又准备偷偷的回来吓我一跳啊
T0055G0002S0213 我说你是个大笨蛋
T0055G0002S0076 集美沙发牛
T0055G0002S0351 你这个小猪为什么要骂我
T0055G0002S0193 张衡翻译成法语
T0055G0002S0149 我们附近哪里有洗手间
T0055G0002S0456 以后不要看我短信
T0055G0002S0043 附近有没有折扣活动
T0055G0002S0258 好舒服一起来过一个轻松假日吧
T0055G0002S0461 告诉我我的位置
T0055G0002S0403 可是我不需要你的服务
T0055G0002S0452 深圳市市委书记
T0055G0002S0295 机床高电平报警
T0055G0002S0483 嗯有志气以后向你学习
T0055G0002S0349 昆明EMS 可以送到爱因森学校吗
T0055G0002S0023 范冰冰出演过的电视剧有哪些
T0055G0002S0204 我要用充值卡充费
T0055G0002S0198 固原市五原中学
T0055G0002S0445 你怎么知道我是胖子呢
T0055G0002S0168 请播放一首经典的老歌
T0055G0002S0282 我说话你听不到吗
T0055G0002S0450 夸张了哪来的长尾你吃的放太多
T0055G0002S0283 你不知道你是谁
T0055G0002S0420 用广东话说一遍对不起
T0055G0002S0060 现在上映哪部韩剧
T0055G0002S0299 我也吃过了你吃的什么啊
T0055G0002S0221 翻译我是一个好男人
T0055G0002S0072 查下多伦天气预报
T0055G0002S0424 你们的下载游戏真的五分给钟免费吗一定要给个答复
T0055G0002S0248 江湖用英语怎么说
T0055G0002S0191 你好请给我讲个故事吧
T0055G0002S0163 哦呵呵没事的啦北京限售了我明天就去看一定保证你回的去的
T0055G0002S0220 你觉得王萍怎么样啊
T0055G0002S0318 我还没有睡我还能喝酒
T0055G0002S0273 睡不着找个人聊聊天
T0055G0002S0435 王可 你明天回家是不是
T0055G0002S0164 我叫你打开视频
T0055G0002S0238 下午四点去弄传真和刻章
T0055G0002S0037 今天中午吃什么
T0055G0002S0081 国内哪些大学有韩语专业
T0055G0002S0010 我家的狗叫什么名字
T0055G0002S0192 真的我真的喜欢你
T0055G0002S0158 假期不见她又要说我不理她了
T0055G0002S0276 通州潞城到密云路线不走高速
T0055G0002S0348 你这个笨蛋加笨蛋加笨笨蛋蛋
T0055G0002S0321 长城电脑的现价
T0055G0002S0054 我说以后叫我叔叔
T0055G0002S0389 你能不能有点思想
T0055G0002S0185 hello who are you
T0055G0002S0466 手机没电不会自动关开机吗
T0055G0002S0098 你是男的还是女的
T0055G0002S0066 从丽景花园到富民桥
T0055G0002S0382 火的歌词 江映蓉
T0055G0002S0350 圣诞节有什么好玩儿的呀
T0055G0002S0231 怎么提高免疫力
T0055G0002S0448 我现在就需要啊
T0055G0002S0144 怎么样小孩听话
T0055G0002S0092 温家宝在做什么
T0055G0002S0070 你个笨蛋我想听歌
T0055G0002S0498 你大学毕业了没有
T0055G0002S0006 我说你明天早上七点叫我起床
T0055G0002S0050 今天常熟的天气是多少度
T0055G0002S0219 明天广州湿度是多少
T0055G0002S0171 删除所有备忘录
T0055G0002S0492 打了几百遍电话
T0055G0002S0067 那你能找到什么
T0055G0002S0122 好的你稍等好吃的烤鹅肠等会就到
T0055G0002S0064 朝阳近五日内天气
T0055G0002S0195 保卫钓鱼岛
T0055G0002S0264 确定今天七点之前
T0055G0002S0059 给我的朋友放别哭的歌曲
T0055G0002S0457 六七五幺五六打电话给他
T0055G0002S0103 出疖子后吃饭或者其他东西注意什么
T0055G0002S0093 叫周杰伦你去死吧周杰伦
T0055G0002S0130 你真不要脸真自恋
T0055G0002S0214 刘邦是怎么死的
T0055G0002S0114 明天早上十一点钟叫我起床
T0055G0002S0111 西工大长安校区到西万路口坐几路车
T0055G0002S0259 给郝文丽打电话
T0055G0002S0180 大悲咒DJ 版
T0055G0002S0304 去太原怎么走啊
T0055G0002S0104 冷漠唱的醉红颜
T0055G0002S0481 我要去日本怎么走
T0055G0002S0475 你本来就不是人
T0055G0002S0296 新世纪王道的含义比如庚澈王道
T0055G0002S0108 打开忍者向前冲
T0055G0002S0186 讲个白雪公主的故事
T0055G0002S0306 播放音乐 只有我自己
T0055G0002S0289 搜索拉布拉多犬
T0055G0002S0033 今天是几号
T0055G0002S0252 我要去广西艺术学院
T0055G0002S0315 我没有幽默细胞
T0055G0002S0002 兰州哪有买路虎汽车的
T0055G0002S0138 关闭青岛新闻网
T0055G0002S0274 这儿哪里可以嫖娼
T0055G0002S0075 酷派手机好不好
T0055G0002S0188 我说你也睡觉吧
T0055G0002S0140 你有没有被别人干过
T0055G0002S0355 幽幽白书第四章
T0055G0002S0405 晚上一起看电影
T0055G0002S0139 附近有什么诊所
T0055G0002S0473 明年几号大年三十
T0055G0002S0026 一公顷等于多少平方公里
T0055G0002S0302 彭裘莹珠电话号码多少
T0055G0002S0467 讲一个不一样的笑话
T0055G0002S0385 打开你的语音播报功能
T0055G0002S0339 诺基亚九二零T
T0055G0002S0477 翻译 欢迎来到中国
T0055G0002S0392 广东番禺旧水坑胜美达电子厂
T0055G0002S0344 有没有什么新歌给我放一首
T0055G0002S0311 从这里到余姚火车站怎么走
T0055G0002S0229 以后你的名字就叫小芝芝吧
T0055G0002S0249 打开我的手机游戏
T0055G0002S0425 播放西餐厅里面的歌曲
T0055G0002S0428 年轻的英语怎么说
T0055G0002S0228 我怎么搞的我的位置
