T0055G0005S0319 给马海航发短信说我爱你
T0055G0005S0281 你准备什么时候去
T0055G0005S0088 是你惹我生气了
T0055G0005S0497 今天的十二点叫醒我
T0055G0005S0049 王海涛能活到多大
T0055G0005S0138 打开安卓优化大师
T0055G0005S0220 把菜拿回来你家没菜呢
T0055G0005S0267 今天晚上六点钟提醒我给房东打电话
T0055G0005S0025 我要坐公交车到开发区
T0055G0005S0337 翻译打电话怎么说
T0055G0005S0217 给我唱亲爱的小孩
T0055G0005S0148 下载歌曲好了伤疤忘了疼
T0055G0005S0048 找最近的QQ 朋友
T0055G0005S0205 忘记给你钱了 你身上一分钱也没有了吧
T0055G0005S0112 我和你讲个笑话
T0055G0005S0345 马云的兴趣爱好
T0055G0005S0212 手机为台湾灾区捐
T0055G0005S0456 播放音乐 让爱从头
T0055G0005S0242 你智商高一点不行吗
T0055G0005S0203 打电话给刘音网
T0055G0005S0327 给孩儿他爸发信息
T0055G0005S0084 你直接告诉我吧
T0055G0005S0035 我要去卡斯的火车票
T0055G0005S0396 唱首刘德华的 忘情水
T0055G0005S0416 请重新讲个笑话
T0055G0005S0253 不在在联欢队那里吧你还是优秀队员
T0055G0005S0182 二零一三年二月十五日
T0055G0005S0030 请问 我明天早上怎么回家
T0055G0005S0388 从成都过来的火车票二十五号的到乌鲁木齐
T0055G0005S0368 你能不能帮我在手机上 找到我老婆的电话
T0055G0005S0430 早上七点二十分叫醒我
T0055G0005S0241 明天去成都的公共汽车
T0055G0005S0019 好了别说那么多废话
T0055G0005S0475 啊你猜我媳妇是谁
T0055G0005S0498 来一首儿童歌曲数鸭子
T0055G0005S0428 下载故事口袋清
T0055G0005S0385 我想邀请你参加我的婚礼
T0055G0005S0176 黔西南州安龙县的天气
T0055G0005S0399 播放宾客斯的美酒
T0055G0005S0099 十一除九十九
T0055G0005S0489 找一找天气查询的应用
T0055G0005S0107 十五号早上八点半叫我起床
T0055G0005S0299 翻译我现在在哪
T0055G0005S0386 狮子女高中的感情顺利吗
T0055G0005S0080 给我查一下双色球开奖结果
T0055G0005S0285 厦门机场附近的酒店
T0055G0005S0301 前日卖出汇率
T0055G0005S0254 话剧是以刻画人物为主还是记述故事情节为主
T0055G0005S0059 我没老婆怎么办
T0055G0005S0200 啥呀你说的什么呀
T0055G0005S0127 云南华侨侨务保护干部监督局
T0055G0005S0161 我肚子好痛啊 帮帮我
T0055G0005S0460 你能逗逗我开心吗
T0055G0005S0013 郓城县医院戴桂英
T0055G0005S0042 今天没有饭吃啊
T0055G0005S0269 我是你主人 为什么不能回答我这个问题
T0055G0005S0194 明早六点半起床
T0055G0005S0252 附近有没有运势
T0055G0005S0391 你一点都不幽默
T0055G0005S0199 河南影视拍摄基地
T0055G0005S0233 播放 不管有多苦
T0055G0005S0403 你他妈真是个大笨蛋
T0055G0005S0484 有什么好的手机
T0055G0005S0056 查找体现汉字谐音特点的古诗、歇后语、对联
T0055G0005S0463 叫你不要叫我主人
T0055G0005S0415 黄金AK 远距离几枪能打死人
T0055G0005S0070 把我的创新声卡拿来
T0055G0005S0419 查查端午节的调休安排
T0055G0005S0231 大学用哪两本字典
T0055G0005S0141 偶尔打电话和发短信多数是上网适合用何卡
T0055G0005S0256 但是我不能关闭手机
T0055G0005S0045 发短信息给心肝宝贝
T0055G0005S0283 你这是什么东西呀
T0055G0005S0167 附近的饭店有什么好吃的
T0055G0005S0053 我想吃饭吃什么呢
T0055G0005S0198 池州到合肥一天几趟
T0055G0005S0245 一万韩元是几台币
T0055G0005S0158 今天是什么时候
T0055G0005S0370 请打电话给冯燕
T0055G0005S0115 播放自由飞翔这首歌
T0055G0005S0144 小语种紧缺人才考试
T0055G0005S0163 我想和你睡觉啦老婆
T0055G0005S0008 我周围的桑拿中心
T0055G0005S0016 你给我讲一个你的秘密吧
T0055G0005S0296 女朋友有男朋友了怎么办
T0055G0005S0304 专业硕士有没有交流项目 我要慢慢一下
T0055G0005S0479 帮我翻译 我只会说一点英语
T0055G0005S0230 下一届奥运会在哪里举办
T0055G0005S0366 谢霆锋的老婆是谁
T0055G0005S0306 你有没有交过男朋友
T0055G0005S0402 打开这个软件要钱吗
T0055G0005S0250 搜索 大海
T0055G0005S0189 在卫校上学可以去当兵我听他们说当兵三年可以很好的找到工作
T0055G0005S0095 好的 洱海怎么样 差不多三点打上车走就可以了 我们也差不多三点走
T0055G0005S0060 我是最漂亮的吗
T0055G0005S0339 怎么做好一个好的销售员
T0055G0005S0361 嘴巴烂了喝什么药
T0055G0005S0132 憔悴是什么意思
T0055G0005S0322 还有吗有再来一个
T0055G0005S0164 感谢党感谢政府我这个小股民总算有救了
T0055G0005S0457 万事如意鹏儿在上晚自习吗
T0055G0005S0356 你怎么知道玩家
T0055G0005S0181 韩剧nonstop 四
T0055G0005S0159 百色市明天的天气是多少度
T0055G0005S0174 播放首歌曲来听
T0055G0005S0244 有什么新的游戏
T0055G0005S0089 删除太阳能充电
T0055G0005S0418 求足彩上一周的开奖结果
T0055G0005S0044 日语今天星期几
T0055G0005S0436 播放歌曲 只要你过得比我好
T0055G0005S0330 贵阳中医学院第二附属医院
T0055G0005S0371 我的钱丢了是不是你拿的
T0055G0005S0057 当张怡宁二零零八年乒乓球赢了 你在干什么
T0055G0005S0149 世界上哪个国家的 女人最多
T0055G0005S0104 才过年没多久怎么没剩多少天啦
T0055G0005S0390 后天的气怎么样了
T0055G0005S0459 二加八加一再加五等于几
T0055G0005S0350 怎么联系张强
T0055G0005S0372 你妹的给我来个笑话
T0055G0005S0173 放屁很臭怎么办
T0055G0005S0005 你好像听不懂我说什么
T0055G0005S0279 当你笑的时候全世界都在笑当你哭的时候全世界只有你在哭
T0055G0005S0290 我就没说话刚才
T0055G0005S0166 什么叫事业单位
T0055G0005S0119 好想找个女人聊天 怎么办
T0055G0005S0380 东莞大朗有流星雨原声大碟买吗
T0055G0005S0079 北郊菜市场在哪里
T0055G0005S0237 旺财你在干什么
T0055G0005S0387 帮我发短信说 我今天不回来吃饭
T0055G0005S0414 为什么太阳从东边升起从西边出落下
T0055G0005S0195 那你有没有男的机器人
T0055G0005S0321 我说去五里井二环北路怎么走
T0055G0005S0346 明天上午提醒我开会
T0055G0005S0249 毛宁谈改革开放三十年岭南音乐的发展
T0055G0005S0295 七点十分叫我起床明天
T0055G0005S0307 歌曲 有一个美丽的传说
T0055G0005S0292 好的明天见你来之前短信过来我怕我不在
T0055G0005S0125 很勤快从何而来
T0055G0005S0432 你能给我介绍一个美女吗
T0055G0005S0406 我想听笑话啦小志
T0055G0005S0152 你耳朵是不是有毛病啊
T0055G0005S0130 导航费流量不费
T0055G0005S0247 克里斯 安吉尔
T0055G0005S0133 播打客服热线如何收取费用
T0055G0005S0007 能不能和我睡觉
T0055G0005S0055 写短信给杨静婷
T0055G0005S0041 老婆的眼睛是黄金的
T0055G0005S0343 蛟龙港紫荆电影院今天都有什么电影
T0055G0005S0454 有情人终成眷属
T0055G0005S0246 下午一点五十五叫醒我
T0055G0005S0010 帮我给老婆发个短信
T0055G0005S0286 说两句话来听听
T0055G0005S0169 用英语和我说话
T0055G0005S0401 六号早上五点五十叫醒我
T0055G0005S0284 鸟大了什么林子都有
T0055G0005S0328 听音乐许嵩的城府
T0055G0005S0426 龙多多在上厕所
T0055G0005S0353 你妈还没听清楚啊
T0055G0005S0214 牙周炎患者该如何保护牙齿
T0055G0005S0294 佳能炫彩系列目前价钱
T0055G0005S0172 新疆有多少个民族
T0055G0005S0398 左手倒影右手年华 郭敬明
T0055G0005S0377 上课把你照片带上 给你办学生证
T0055G0005S0153 我不是要找老公
T0055G0005S0216 给我放快播里面的A 片
T0055G0005S0076 中国的四大发明
T0055G0005S0067 睡觉了怎么知道我发短信给你了
T0055G0005S0052 播放郑源曾经爱过
T0055G0005S0150 是四号晚上集合
T0055G0005S0312 来个黄色的笑话
T0055G0005S0453 我要睡觉了 你睡不睡觉
T0055G0005S0031 请明天早上七点钟提醒我开会
T0055G0005S0143 中国第一大城市
T0055G0005S0124 帮我查一下今天深圳的天气怎么样
T0055G0005S0379 所以你的意思是参加
T0055G0005S0393 我说你听到我在说话吗
T0055G0005S0305 铁道部第二工程局职业病防治院
T0055G0005S0111 杜甫的三史三别
T0055G0005S0331 你在干什么 你吃饭了没有啊 我马上到家了
T0055G0005S0146 你长的不一定很漂亮吧
T0055G0005S0082 心情不好怎么办呢
T0055G0005S0157 四海一家的解决之道
T0055G0005S0461 世界上哪个城市最大
T0055G0005S0139 给我妈妈打电话
T0055G0005S0017 看看还有什么录音软件
T0055G0005S0483 郑州的酒吧有哪些
T0055G0005S0465 为什么呀为什么要这样对我
T0055G0005S0260 讲个笑话给林阁听
T0055G0005S0490 打开移动练歌房
T0055G0005S0364 放一首刘德华的冰雨
T0055G0005S0443 我想看三级片电影 帮我介绍点三级片的电影给我看
T0055G0005S0320 自动注册行不行
T0055G0005S0273 治疗阳痿最快的方法
T0055G0005S0359 一九八四年五月二十是农历初几
T0055G0005S0462 工资还没有发现在好穷老板无德你的钱晚些还你
T0055G0005S0264 我国水资源人均占有量只有两千三百多少
T0055G0005S0105 办理出生证明后可以改名吗
T0055G0005S0003 在我生命里歌曲
T0055G0005S0486 播放张惠妹的歌曲
T0055G0005S0455 今天泉州天气怎么样
T0055G0005S0259 青岛到高密的火车
T0055G0005S0114 今天早晨九点叫醒我
T0055G0005S0310 登录南昌地宝网
T0055G0005S0145 打电话给美国小狗
T0055G0005S0440 声音为什么这么好
T0055G0005S0123 意思是我讨厌你
T0055G0005S0421 我想听一首凤凰传奇的 最炫民族风
T0055G0005S0197 吃什么可以补肝的
T0055G0005S0232 光是怎样产生的
T0055G0005S0274 我要打电话给张晓枫
T0055G0005S0413 晚安good night
T0055G0005S0050 给我唱一首 忐忑吧
T0055G0005S0196 简直是牛头不对马嘴
T0055G0005S0429 帮我把电话给美秀
T0055G0005S0034 把歌关了 我不想听了
T0055G0005S0351 没有钥匙怎么办
T0055G0005S0206 你都有什么功能
T0055G0005S0315 你好 你为什么不说话
T0055G0005S0038 我不喜欢你 你介意吗
T0055G0005S0478 我国原始社会时期的主要耕作方式是什么
T0055G0005S0108 查找上海小南国
T0055G0005S0072 好的放点音乐吧
T0055G0005S0311 每天早上七点半起床
T0055G0005S0376 铜川市印台区新街百货商店
T0055G0005S0066 唱个儿歌给我听
T0055G0005S0423 播放一首杨幂的歌
T0055G0005S0417 你唱一首好听的歌
T0055G0005S0338 帮我查一下HTC G 五手机
T0055G0005S0077 但愿如此那你都轻松了撒
T0055G0005S0450 什么牌子的洗面奶好
T0055G0005S0445 你这样会犯法的
T0055G0005S0151 他的手伸进我的内裤
T0055G0005S0071 咱俩打炮生孩子
T0055G0005S0492 翻译我很想念你
T0055G0005S0333 说什么乱七八糟的
T0055G0005S0190 今早你没有叫我
T0055G0005S0024 我想知道明天下午有没有去
T0055G0005S0438 世界末日什么时间
T0055G0005S0091 再讲个笑话来听听
T0055G0005S0493 唱一首歌叫征服
T0055G0005S0238 明天上午九点有个会议 帮我记录一下
T0055G0005S0015 今天没空啊明天再出来打球啊
T0055G0005S0213 在家里呀刚刚换卡才看到
T0055G0005S0433 给我们放首儿歌
T0055G0005S0235 广州最大的百货商场在哪里
T0055G0005S0382 直博机会大挑战也多啊
T0055G0005S0006 你的一切是什么
T0055G0005S0332 呵呵没有啦只是大三了人就更加懒了而已
T0055G0005S0228 四面荷花三面柳
T0055G0005S0142 长沙经开区有多大
T0055G0005S0293 我要吃饭哪里有最便宜的
T0055G0005S0171 好吧你先休息一下吧
T0055G0005S0373 也祝你新年快乐 新的一年万事顺利
T0055G0005S0188 拨打刘萍的电话号码
T0055G0005S0266 世上只有爸爸好
T0055G0005S0226 给你一朵鲜花吧
T0055G0005S0363 三个亲爱的小孩
T0055G0005S0302 你是你是猫和老鼠吗
T0055G0005S0397 发短信给文曲星
T0055G0005S0223 十二月十日武汉油价
T0055G0005S0481 你知道二是什么意思吗
T0055G0005S0081 下星期五是几号
T0055G0005S0495 播放歌曲 说好的幸福呢
T0055G0005S0168 打电话给徐老板
T0055G0005S0352 让你爸爸和我说话
T0055G0005S0069 还差多少时间才到二十三点五十五分
T0055G0005S0160 你知道我老婆去哪里了吗
T0055G0005S0011 微信是干什么的
T0055G0005S0122 有什么烦恼的事儿
T0055G0005S0349 我就说你们机器人的特点是什么 如果你能告诉我 我还可以送一个惊喜
T0055G0005S0499 今天晚上过来吧 明天什么时候上班
T0055G0005S0028 今天丽江天气怎么样
T0055G0005S0298 给姥爷讲个笑话
T0055G0005S0193 明天绍兴天气怎么样
T0055G0005S0408 今天你吃饭了吗
T0055G0005S0314 什么是八辈祖宗
T0055G0005S0086 帮我查一下去太原的火车票
T0055G0005S0117 那先回去再说吧
T0055G0005S0204 我想在手机上看电视请帮我找一下
T0055G0005S0061 喜欢看武侠小说怎么办
T0055G0005S0037 给我抄我的好兄弟
T0055G0005S0078 没有共产党就没有新中国
T0055G0005S0103 摇太阳歌词谢谢
T0055G0005S0308 我怎么没有发现
T0055G0005S0412 今天温度有多少
T0055G0005S0448 现在把他的电话给我拨通
T0055G0005S0271 翻译 我发现你的电影院有许多缺点
T0055G0005S0300 打电话给黄书
T0055G0005S0121 今天你要干什么去
T0055G0005S0335 我想看日本爱情片
T0055G0005S0482 那我想了怎么办
T0055G0005S0347 那你陪我睡觉吧
T0055G0016S0316 江西樟树王梦迪
T0055G0016S0015 打开神庙逃亡二
T0055G0016S0329 我问你为什么无法打开设置
T0055G0016S0181 你的名字有点儿难听噢
T0055G0016S0405 唱一首节奏快一点儿的歌儿
T0055G0016S0342 我以后问你什么问题 你都要知道
T0055G0016S0317 请问你懂四川话吗
T0055G0016S0386 打电话给李殿斌
T0055G0016S0352 小时候长得漂亮长大会变丑嘛
T0055G0016S0126 亲爱的老婆大人
T0055G0016S0381 走了啊找我同学去了
T0055G0016S0309 歌词梁山伯与朱丽叶
T0055G0016S0475 帮我查询一下附近有什么好吃的
T0055G0016S0018 想吃披萨吗我请
T0055G0016S0135 聊聊你的感情怎么样
T0055G0016S0319 播放我的本地音乐
T0055G0016S0113 为啥老叫我流氓
T0055G0016S0413 拜仁本轮赛况最好详细些
T0055G0016S0092 问你多大了
T0055G0016S0395 老二是不是很帅
T0055G0016S0068 揭阳二十六号晚上大合唱比赛三甲是
T0055G0016S0279 银行卡几日内挂失有效
T0055G0016S0210 三乘八等于多少
T0055G0016S0045 我说我喜欢一个人但是怕被人家拒绝
T0055G0016S0178 为什么女人去做小姐
T0055G0016S0189 我想听一首歌名字叫做
T0055G0016S0036 四大会计师事务所对在校生招聘时间
T0055G0016S0176 你有什么好看的呀
T0055G0016S0103 来首音乐吧music
T0055G0016S0293 八点三十五分叫我开会
T0055G0016S0350 是你的问题还是我的问题呢
T0055G0016S0313 附近哪里有公共厕所
T0055G0016S0175 打电话给力芬芬
T0055G0016S0084 飞信安装出现问题怎么办
T0055G0016S0294 你帮我叫两个女的来
T0055G0016S0273 你今年多大了
T0055G0016S0410 请勿扰民否则我会投诉.谢谢配合.
T0055G0016S0308 老姐你的QQ 上写的东西是什么啊怎么了谁欺负你了
T0055G0016S0314 你晚上一个人睡觉吗
T0055G0016S0320 田园的头有多大
T0055G0016S0087 晚上十九点十五叫我
T0055G0016S0355 翻译吃饭了没有
T0055G0016S0418 龙年出生的宝宝叫什么名字好
T0055G0016S0106 什么好玩的游戏 什么好玩的游戏
T0055G0016S0337 我要看电视连续剧
T0055G0016S0179 寻找我现在附近的KTV
T0055G0016S0109 你们几个人才想出来的
T0055G0016S0125 是谁导演这场戏全段
T0055G0016S0051 嗯好的六点叫我
T0055G0016S0500 回不了你就是猪
T0055G0016S0339 明天车辆限行尾号是多少
T0055G0016S0384 露露在干嘛呢
T0055G0016S0088 我要听一首轻音乐
T0055G0016S0265 那我会是皇上吗
T0055G0016S0440 我要的是 福州市闽侯县白沙镇邮政局的电话
T0055G0016S0077 看看美女图片发几张
T0055G0016S0262 我好想打你一次
T0055G0016S0148 你不是我女儿吗怎么又成大熊猫了
T0055G0016S0421 日本是什么东西
T0055G0016S0490 绵阳招商银行浦东发展银行兴业银行交通银行电话号码
T0055G0016S0332 搜索AV 女优
T0055G0016S0439 手机打开wifi
T0055G0016S0348 建安新村是哪一年建的房子
T0055G0016S0414 给你找个老婆吧
T0055G0016S0102 你好用英语怎么说
T0055G0016S0489 原来你还在这里歌曲
T0055G0016S0060 这一次的员工是你给我的
T0055G0016S0190 今晚十点提醒我练胸肌
T0055G0016S0402 Google 一下长安
T0055G0016S0428 我想听好听的故事
T0055G0016S0311 我发现你还真不要脸
T0055G0016S0063 亮剑集数
T0055G0016S0011 这附近有什么好吃的东西吗
T0055G0016S0416 我都说不要听了
T0055G0016S0379 谁要办商务领航
T0055G0016S0004 明年房子会不会涨价
T0055G0016S0090 你怎么这么笨的
T0055G0016S0347 你知不知道我电话号码
T0055G0016S0209 最近五天的温度是多少
T0055G0016S0461 查汽车违章号码浙GJ 八七八Z 小型车
T0055G0016S0372 武威到天水火车 时间 车次 价格
T0055G0016S0052 百科 无锡有多少年建城史
T0055G0016S0385 到了明年你还是单身吶
T0055G0016S0457 芒果苹果我都买了一些明天给你送过去在路上吃
T0055G0016S0426 一路向西这部电影
T0055G0016S0149 帮我报一下今天的天气
T0055G0016S0192 可以用粤语说话吗
T0055G0016S0186 那你就在我这吃晚饭吧晚上不怕不着急走
T0055G0016S0035 我发现我已经爱上你了
T0055G0016S0472 帮我查询一下 今天的天气情况
T0055G0016S0442 人胡思乱想的原因怎样改变具体措施
T0055G0016S0182 我想问一件事情
T0055G0016S0154 早上好日语怎么说
T0055G0016S0423 你长得漂不漂亮呀
T0055G0016S0454 重庆apple 专卖
T0055G0016S0094 恐怖片子阿拉扯皮
T0055G0016S0075 天气太冷了翻译成英语
T0055G0016S0033 那你可以休息了退出吧
T0055G0016S0260 那你找到了没有呢
T0055G0016S0151 我是八年级同学我喜欢一个女生我该怎办
T0055G0016S0144 打电话给何海燕儿
T0055G0016S0112 我要看恐怖电影 没事的
T0055G0016S0388 给宝宝唱一首歌
T0055G0016S0367 古代小说三国演艺中蜀国的五虎将是谁
T0055G0016S0141 新卡的芯片儿是怎么回事儿
T0055G0016S0315 那你知道什么呢
T0055G0016S0170 给我讲一个超级搞笑的笑话
T0055G0016S0234 绵阳有什么好玩的
T0055G0016S0028 三点四十五叫我起床
T0055G0016S0236 你好的用英语怎么说
T0055G0016S0456 糖醋鲤鱼的做法
T0055G0016S0291 九五年欧美热门音乐
T0055G0016S0101 三星手机和华为手机
T0055G0016S0266 把这个音乐给我关了
T0055G0016S0411 注意乳房补充血液
T0055G0016S0014 明天去哪里好玩儿
T0055G0016S0336 你认不认识我家康康
T0055G0016S0069 人民币和欧元的汇率
T0055G0016S0228 去重庆
T0055G0016S0306 明天早晨六点五十五叫我
T0055G0016S0394 今天早晨吃什么呢
T0055G0016S0198 这什么意思呀
T0055G0016S0098 查看石家庄地图
T0055G0016S0040 上海明天的天气怎么样
T0055G0016S0467 我在哪里见过你吗
T0055G0016S0020 来个藏族歌曲吧
T0055G0016S0001 韩莹莹和郭一豪
T0055G0016S0378 明天提醒我回家拿东西
T0055G0016S0264 DNF 中六十级的能不能把一级的带入机械牛图中
T0055G0016S0327 请帮我拨个电话给外婆
T0055G0016S0050 我要我要我就要
T0055G0016S0123 你以为你很厉害吗
T0055G0016S0147 打过来的微信读一下
